"","data.instansi","name","Agregat","Internal","Eksternal","Eksper"
"4989","PEMERINTAH KABUPATEN TASIKMALAYA","DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN DAN LINGKUNGAN HIDUP",74.3,74.88,98.6,64.51
"4990","PEMERINTAH KABUPATEN TASIKMALAYA","DINAS PEMBERDAYAAN MASYARAKAT DAN DESA",NA,76.39,NA,64.51
"4991","PEMERINTAH KABUPATEN TASIKMALAYA","DINAS PENANAMAN MODAL, PELAYANAN TERPADU SATU PINTU DAN TENAGA KERJA",68.72,73.04,83.29,64.51
"4992","PEMERINTAH KABUPATEN TASIKMALAYA","DINAS PENDIDIKAN DAN KEBUDAYAAN",NA,71.4,NA,64.51
"4993","PEMERINTAH KABUPATEN TASIKMALAYA","DINAS PERHUBUNGAN, KOMUNIKASI DAN INFORMATIKA",62.51,70.89,66.35,64.51
"4994","PEMERINTAH KABUPATEN TASIKMALAYA","DINAS PERTANIAN, KETAHANAN PANGAN DAN PERIKANAN",68.15,67.71,86.5,64.51
"4995","PEMERINTAH KABUPATEN TASIKMALAYA","DINAS SOSIAL, PENGENDALIAN PENDUDUK, KELUARGA BERENCANA, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK",66.83,69.04,81.25,64.51
"4996","PEMERINTAH KABUPATEN TASIKMALAYA","KECAMATAN",NA,69.35,NA,64.51
"4997","PEMERINTAH KABUPATEN TASIKMALAYA","SATUAN POLISI PAMONG PRAJA",NA,75.27,NA,64.51
"4998","PEMERINTAH KABUPATEN TASIKMALAYA","SEKRETARIAT DAERAH",73.04,71.64,97.78,64.51
"4999","PEMERINTAH KABUPATEN TASIKMALAYA","SEKRETARIAT DPRD",NA,67.58,NA,64.51
"5000","PEMERINTAH KABUPATEN CIAMIS","KECAMATAN",NA,74.6,NA,65.97
"5001","PEMERINTAH KABUPATEN CIAMIS","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",NA,81.69,NA,65.97
"5002","PEMERINTAH KABUPATEN CIAMIS","BADAN KESATUAN BANGSA DAN POLITIK",NA,66.88,NA,65.97
"5003","PEMERINTAH KABUPATEN CIAMIS","BADAN PENANGGULANGAN BENCANA DAERAH",NA,72.87,NA,65.97
"5004","PEMERINTAH KABUPATEN CIAMIS","BADAN PENGELOLAAN KEUANGAN DAERAH",NA,78.08,NA,65.97
"5005","PEMERINTAH KABUPATEN CIAMIS","DINAS KEBUDAYAAN, KEPEMUDAAN DAN OLAHRAGA",NA,69.29,NA,65.97
"5006","PEMERINTAH KABUPATEN CIAMIS","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL",75.62,73.79,92.86,65.97
"5007","PEMERINTAH KABUPATEN CIAMIS","DINAS KESEHATAN",NA,67.83,NA,65.97
"5008","PEMERINTAH KABUPATEN CIAMIS","DINAS PARIWISATA",NA,80.46,NA,65.97
"5009","PEMERINTAH KABUPATEN CIAMIS","DINAS PEMBERDAYAAN MASYARAKAT DAN DESA",NA,81.24,NA,65.97
"5010","PEMERINTAH KABUPATEN CIAMIS","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",72.95,77.47,81.32,65.97
"5011","PEMERINTAH KABUPATEN CIAMIS","DINAS PENDIDIKAN",76.53,77.66,92.05,65.97
"5012","PEMERINTAH KABUPATEN CIAMIS","DINAS PENGENDALIAN PENDUDUK, KELUARGA BERENCANA, PEMEBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK",NA,84.56,NA,65.97
"5013","PEMERINTAH KABUPATEN CIAMIS","DINAS PERHUBUNGAN",76.76,77.28,93.1,65.97
"5014","PEMERINTAH KABUPATEN CIAMIS","DINAS PERPUSTAKAAN DAN KEARSIPAN",NA,74.37,NA,65.97
"5015","PEMERINTAH KABUPATEN CIAMIS","DINAS PERTANIAN DAN KETAHANAN PANGAN",NA,79.86,NA,65.97
"5016","PEMERINTAH KABUPATEN CIAMIS","DINAS PERUMAHAN RAKYAT, KAWASAN PERMUKIMAN DAN LINGKUNGAN HIDUP",NA,79.96,NA,65.97
"5017","PEMERINTAH KABUPATEN CIAMIS","DINAS PETERNAKAN DAN PERIKANAN",NA,74.73,NA,65.97
"5018","PEMERINTAH KABUPATEN CIAMIS","SATUAN POLISI PAMONG PRAJA",NA,71.88,NA,65.97
"5019","PEMERINTAH KABUPATEN CIAMIS","SEKRETARIAT DAERAH",NA,78.8,NA,65.97
"5020","PEMERINTAH KABUPATEN CIAMIS","SEKRETARIAT DPRD",NA,75.24,NA,65.97
"5021","PEMERINTAH KABUPATEN KUNINGAN","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",NA,74.88,NA,62.94
"5022","PEMERINTAH KABUPATEN KUNINGAN","BADAN KESATUAN BANGSA DAN POLITIK",NA,76.18,NA,62.94
"5023","PEMERINTAH KABUPATEN KUNINGAN","BADAN PENANGGULANGAN BENCANA DAERAH",NA,73.85,NA,62.94
"5024","PEMERINTAH KABUPATEN KUNINGAN","BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH",NA,67.64,NA,62.94
"5025","PEMERINTAH KABUPATEN KUNINGAN","BADAN PENGELOLAAN PENDAPATAN DAERAH",72.17,72.55,87.26,62.94
"5026","PEMERINTAH KABUPATEN KUNINGAN","BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",NA,71.53,NA,62.94
"5027","PEMERINTAH KABUPATEN KUNINGAN","DINAS KEARSIPAN DAN PERPUSTAKAAN",NA,70.97,NA,62.94
"5028","PEMERINTAH KABUPATEN KUNINGAN","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL",68.4,70.97,77.23,62.94
"5029","PEMERINTAH KABUPATEN KUNINGAN","DINAS KESEHATAN",73.81,71.99,92.77,62.94
"5030","PEMERINTAH KABUPATEN KUNINGAN","DINAS KETAHANAN PANGAN DAN PERTANIAN",65.94,63.15,77,62.94
"5031","PEMERINTAH KABUPATEN KUNINGAN","DINAS KOMUNIKASI DAN INFORMATIKA",NA,65.58,NA,62.94
"5032","PEMERINTAH KABUPATEN KUNINGAN","DINAS KOPERASI, USAHA KECIL MENENGAH, PERDAGANGAN DAN PERINDUSTRIAN",NA,60.78,NA,62.94
"5033","PEMERINTAH KABUPATEN KUNINGAN","DINAS LINGKUNGAN HIDUP",NA,73.38,NA,62.94
"5034","PEMERINTAH KABUPATEN KUNINGAN","DINAS PEKERJAAN UMUM DAN PENATAAN RUANG",71.2,69.76,86.89,62.94
"5035","PEMERINTAH KABUPATEN KUNINGAN","DINAS PEMBERDAYAAN MASYARAKAT DAN DESA",NA,77.17,NA,62.94
"5036","PEMERINTAH KABUPATEN KUNINGAN","DINAS PEMUDA, OLAH RAGA DAN PARIWISATA",71.79,71.66,86.91,62.94
"5037","PEMERINTAH KABUPATEN KUNINGAN","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",70.43,73.19,81.35,62.94
"5038","PEMERINTAH KABUPATEN KUNINGAN","DINAS PENDIDIKAN DAN KEBUDAYAAN",72.26,69.96,89.93,62.94
"5039","PEMERINTAH KABUPATEN KUNINGAN","DINAS PENGENDALIAN PENDUDUK, KELUARGA BERENCANA, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK",NA,76.77,NA,62.94
"5040","PEMERINTAH KABUPATEN KUNINGAN","DINAS PERHUBUNGAN",70.86,70.99,84.71,62.94
"5041","PEMERINTAH KABUPATEN KUNINGAN","DINAS PERIKANAN DAN PETERNAKAN",NA,61.26,NA,62.94
"5042","PEMERINTAH KABUPATEN KUNINGAN","DINAS PERUMAHAN, PERMUKIMAN DAN PERTANAHAN",NA,69.97,NA,62.94
"5043","PEMERINTAH KABUPATEN KUNINGAN","DINAS SOSIAL",NA,68.81,NA,62.94
"5044","PEMERINTAH KABUPATEN KUNINGAN","DINAS TENAGA KERJA DAN TRANSMIGRASI",NA,69.86,NA,62.94
"5045","PEMERINTAH KABUPATEN KUNINGAN","KECAMATAN",NA,69.52,NA,62.94
"5046","PEMERINTAH KABUPATEN KUNINGAN","SATUAN POLISI PAMONG PRAJA",NA,71.64,NA,62.94
"5047","PEMERINTAH KABUPATEN KUNINGAN","SEKRETARIAT DAERAH",NA,66.93,NA,62.94
"5048","PEMERINTAH KABUPATEN KUNINGAN","SEKRETARIAT DPRD",NA,72.24,NA,62.94
"5049","PEMERINTAH KABUPATEN CIREBON","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",NA,76.17,NA,60.98
"5050","PEMERINTAH KABUPATEN CIREBON","BADAN KESATUAN BANGSA DAN POLITIK",63.52,68.67,85.68,60.98
"5051","PEMERINTAH KABUPATEN CIREBON","BADAN KEUANGAN DAN ASET DAERAH",67.72,73.83,93.71,60.98
"5052","PEMERINTAH KABUPATEN CIREBON","BADAN PENANGGULANGAN BENCANA DAERAH",NA,71.62,NA,60.98
"5053","PEMERINTAH KABUPATEN CIREBON","BADAN PENDAPATAN DAERAH",NA,72.31,NA,60.98
"5054","PEMERINTAH KABUPATEN CIREBON","DINAS KATAHANAN PANGAN DAN PERIKANAN",NA,76.69,NA,60.98
"5055","PEMERINTAH KABUPATEN CIREBON","DINAS KEARSIPAN DAN PERPUSTAKAAN",63.23,76.33,77.67,60.98
"5056","PEMERINTAH KABUPATEN CIREBON","DINAS KEBUDAYAAN DAN PARIWISATA",NA,77.49,NA,60.98
"5057","PEMERINTAH KABUPATEN CIREBON","DINAS KESEHATAN",62.01,68.12,81.6,60.98
"5058","PEMERINTAH KABUPATEN CIREBON","DINAS KETENAGAKERJAAN",62.35,69.16,81.65,60.98
"5059","PEMERINTAH KABUPATEN CIREBON","DINAS KOPERASI DAN USAHA KECIL DAN MENENGAH",68.23,77.7,91.67,60.98
"5060","PEMERINTAH KABUPATEN CIREBON","DINAS LINGKUNGAN HIDUP",NA,75.74,NA,60.98
"5061","PEMERINTAH KABUPATEN CIREBON","DINAS PEKERJAAN UMUM DAN TATA RUANG",NA,73.25,NA,60.98
"5062","PEMERINTAH KABUPATEN CIREBON","DINAS PEMADAM KEBAKARAN DAN PENYELAMATAN",NA,72.87,NA,60.98
"5063","PEMERINTAH KABUPATEN CIREBON","DINAS PEMBERDAYAAN MASYARAKAT DAN DESA",NA,74.17,NA,60.98
"5064","PEMERINTAH KABUPATEN CIREBON","DINAS PEMUDA DAN OLAHRAGA",NA,79.2,NA,60.98
"5065","PEMERINTAH KABUPATEN CIREBON","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",NA,75.68,NA,60.98
"5066","PEMERINTAH KABUPATEN CIREBON","DINAS PENDIDIKAN",63.49,71.84,82.65,60.98
"5067","PEMERINTAH KABUPATEN CIREBON","DINAS PENGENDALIAN PENDUDUK, KELUARGA BERENCANA, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK",NA,66.29,NA,60.98
"5068","PEMERINTAH KABUPATEN CIREBON","DINAS PERDAGANGAN DAN PERINDUSTRIAN",NA,66.78,NA,60.98
"5069","PEMERINTAH KABUPATEN CIREBON","DINAS PERHUBUNGAN",55.49,72.04,58.05,60.98
"5070","PEMERINTAH KABUPATEN CIREBON","DINAS PERTANIAN",NA,67.37,NA,60.98
"5071","PEMERINTAH KABUPATEN CIREBON","DINAS PERUMAHAN, KAWASAN PEMUKIMAN DAN PERTANAHAN",NA,74.17,NA,60.98
"5072","PEMERINTAH KABUPATEN CIREBON","DINAS SOSIAL",NA,80.01,NA,60.98
"5073","PEMERINTAH KABUPATEN CIREBON","KECAMATAN",NA,70.3,NA,60.98
"5074","PEMERINTAH KABUPATEN CIREBON","SATUAN POLISI PAMONG PRAJA",NA,65.87,NA,60.98
"5075","PEMERINTAH KABUPATEN CIREBON","SEKRETARIAT DAERAH",59.22,70.49,70.88,60.98
"5076","PEMERINTAH KABUPATEN CIREBON","SEKRETARIAT DPRD",NA,70.86,NA,60.98
"5077","PEMERINTAH KABUPATEN MAJALENGKA","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",NA,76.25,NA,73.9
"5078","PEMERINTAH KABUPATEN MAJALENGKA","BADAN KESATUAN BANGSA DAN POLITIK",NA,73.62,NA,73.9
"5079","PEMERINTAH KABUPATEN MAJALENGKA","BADAN KEUANGAN DAN ASET DAERAH",NA,78.74,NA,73.9
"5080","PEMERINTAH KABUPATEN MAJALENGKA","BADAN PENANGGULANGAN BENCANA DAERAH",NA,84.38,NA,73.9
"5081","PEMERINTAH KABUPATEN MAJALENGKA","BADAN PENDAPATAN DAERAH",NA,81.47,NA,73.9
"5082","PEMERINTAH KABUPATEN MAJALENGKA","BADAN PERENCANAAN PEMBANGUNAN DAERAH, PENELITIAN DAN PENGEMBANGAN",NA,73.88,NA,73.9
"5083","PEMERINTAH KABUPATEN MAJALENGKA","DINAS ARSIP DAN PERPUSTAKAAN DAERAH",NA,71.55,NA,73.9
"5084","PEMERINTAH KABUPATEN MAJALENGKA","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL",72.37,79.06,81.52,73.9
"5085","PEMERINTAH KABUPATEN MAJALENGKA","DINAS KESEHATAN",NA,69.98,NA,73.9
"5086","PEMERINTAH KABUPATEN MAJALENGKA","DINAS KETAHANAN PANGAN,PERTANIAN DAN PERIKANAN",NA,75.13,NA,73.9
"5087","PEMERINTAH KABUPATEN MAJALENGKA","DINAS KETENAGAKERJAAN, KOPERASI DAN USAHA KECIL MENENGAH",68.38,75.16,72.98,73.9
"5088","PEMERINTAH KABUPATEN MAJALENGKA","DINAS KOMUNIKASI DAN INFORMATIKA",NA,72.31,NA,73.9
"5089","PEMERINTAH KABUPATEN MAJALENGKA","DINAS LINGKUNGAN HIDUP",NA,78.37,NA,73.9
"5090","PEMERINTAH KABUPATEN MAJALENGKA","DINAS PARIWISATA DAN KEBUDAYAAN",NA,72.9,NA,73.9
"5091","PEMERINTAH KABUPATEN MAJALENGKA","DINAS PEKERJAAN UMUM DAN TATA RUANG",NA,71.54,NA,73.9
"5092","PEMERINTAH KABUPATEN MAJALENGKA","DINAS PEMBERDAYAAN MASYARAKAT DESA",NA,79.63,NA,73.9
"5093","PEMERINTAH KABUPATEN MAJALENGKA","DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN KELUARGA BERENCANA",NA,74.99,NA,73.9
"5094","PEMERINTAH KABUPATEN MAJALENGKA","DINAS PEMUDA DAN OLAH RAGA",NA,67.11,NA,73.9
"5095","PEMERINTAH KABUPATEN MAJALENGKA","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",71.65,77.38,80.87,73.9
"5096","PEMERINTAH KABUPATEN MAJALENGKA","DINAS PENDIDIKAN",NA,71.2,NA,73.9
"5097","PEMERINTAH KABUPATEN MAJALENGKA","DINAS PERDAGANGAN DAN PERINDUSTRIAN",NA,75.03,NA,73.9
"5098","PEMERINTAH KABUPATEN MAJALENGKA","DINAS PERHUBUNGAN",NA,72.98,NA,73.9
"5099","PEMERINTAH KABUPATEN MAJALENGKA","DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",NA,74.97,NA,73.9
"5100","PEMERINTAH KABUPATEN MAJALENGKA","DINAS SOSIAL",NA,57.52,NA,73.9
"5101","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN",NA,71.84,NA,73.9
"5102","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN ARGAPURA",NA,76.14,NA,73.9
"5103","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN BANJARAN",NA,78.81,NA,73.9
"5104","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN BANTARUJEG",NA,77.84,NA,73.9
"5105","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN CIGASONG",NA,66.21,NA,73.9
"5106","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN DAWUAN",NA,68.52,NA,73.9
"5107","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN JATITUJUH",NA,63.17,NA,73.9
"5108","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN JATIWANGI",NA,78.31,NA,73.9
"5109","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN KADIPATEN",NA,69.88,NA,73.9
"5110","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN KASOKANDEL",NA,75.7,NA,73.9
"5111","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN LEMAHSUGIH",NA,75.09,NA,73.9
"5112","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN LIGUNG",NA,68.74,NA,73.9
"5113","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN MAJA",NA,64.9,NA,73.9
"5114","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN MAJALENGKA",NA,70.33,NA,73.9
"5115","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN MALAUSMA",NA,80.73,NA,73.9
"5116","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN PALASAH",NA,66.62,NA,73.9
"5117","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN PANYINGKIRAN",NA,82.91,NA,73.9
"5118","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN SUKAHAJI",NA,79.12,NA,73.9
"5119","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN SUMBERJAYA",NA,79.44,NA,73.9
"5120","PEMERINTAH KABUPATEN MAJALENGKA","KECAMATAN TALAGA",NA,66.17,NA,73.9
"5121","PEMERINTAH KABUPATEN MAJALENGKA","SATUAN POLISI PAMONG PRAJA DAN PEMADAN KEBAKARAN",NA,74.96,NA,73.9
"5122","PEMERINTAH KABUPATEN MAJALENGKA","SEKRETARIAT DAERAH",NA,74.63,NA,73.9
"5123","PEMERINTAH KABUPATEN MAJALENGKA","SEKRETARIAT DPRD",NA,68.49,NA,73.9
"5124","PEMERINTAH KABUPATEN SUMEDANG","KECAMATAN",67.74,73.41,86.05,66.14
"5125","PEMERINTAH KABUPATEN SUMEDANG","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",69.75,73.21,92.37,66.14
"5126","PEMERINTAH KABUPATEN SUMEDANG","BADAN KESATUAN BANGSA DAN POLITIK",69.1,75.14,88.58,66.14
"5127","PEMERINTAH KABUPATEN SUMEDANG","BADAN KEUANGAN DAN ASET DAERAH",71.06,76.42,93.38,66.14
"5128","PEMERINTAH KABUPATEN SUMEDANG","BADAN PENANGGULANGAN BENCANA DAERAH",65.37,66.03,85.67,66.14
"5129","PEMERINTAH KABUPATEN SUMEDANG","BADAN PENDAPATAN DAERAH",72.18,78.74,94.64,66.14
"5130","PEMERINTAH KABUPATEN SUMEDANG","BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",69.74,71.05,94.34,66.14
"5131","PEMERINTAH KABUPATEN SUMEDANG","DINAS ARSIP DAN PERPUSTAKAAN",67.82,69.06,90.31,66.14
"5132","PEMERINTAH KABUPATEN SUMEDANG","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL",71.05,80.63,89.41,66.14
"5133","PEMERINTAH KABUPATEN SUMEDANG","DINAS KESEHATAN",70.37,71.43,95.89,66.14
"5134","PEMERINTAH KABUPATEN SUMEDANG","DINAS KOMUNIKASI, INFORMATIKA, PERSANDIAN DAN STATISTIK",NA,75.65,NA,66.14
"5135","PEMERINTAH KABUPATEN SUMEDANG","DINAS KOPERASI, USAHA KECIL, MENENGAH, PERDAGANGAN DAN PERINDUSTRIAN",68.74,74.02,88.54,66.14
"5136","PEMERINTAH KABUPATEN SUMEDANG","DINAS LINGKUNGAN HIDUP DAN KEHUTANAN",NA,75.41,NA,66.14
"5137","PEMERINTAH KABUPATEN SUMEDANG","DINAS PARIWISATA, KEBUDAYAAN, KEPEMUDAAN DAN OLAHRAGA",NA,71.38,NA,66.14
"5138","PEMERINTAH KABUPATEN SUMEDANG","DINAS PEKERJAAN UMUM DAN PENATAAN RUANG",70.11,75.13,91.67,66.14
"5139","PEMERINTAH KABUPATEN SUMEDANG","DINAS PEMBERDAYAAN MASYARAKAT DAN DESA",69.58,72.74,92.29,66.14
"5140","PEMERINTAH KABUPATEN SUMEDANG","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",70.74,78.87,90.1,66.14
"5141","PEMERINTAH KABUPATEN SUMEDANG","DINAS PENDIDIKAN",69.41,79.58,85.4,66.14
"5142","PEMERINTAH KABUPATEN SUMEDANG","DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA",66.83,72.8,83.82,66.14
"5143","PEMERINTAH KABUPATEN SUMEDANG","DINAS PERHUBUNGAN",66.84,66.94,89.32,66.14
"5144","PEMERINTAH KABUPATEN SUMEDANG","DINAS PERIKANAN DAN PETERNAKAN",67.32,68.73,89.11,66.14
"5145","PEMERINTAH KABUPATEN SUMEDANG","DINAS PERTANIAN DAN KETAHANAN PANGAN",69.38,75.08,89.49,66.14
"5146","PEMERINTAH KABUPATEN SUMEDANG","DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",56.74,32.2,90.76,66.14
"5147","PEMERINTAH KABUPATEN SUMEDANG","DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK",68.58,75.08,87.05,66.14
"5148","PEMERINTAH KABUPATEN SUMEDANG","DINAS TENAGA KERJA DAN TRANSMIGRASI",66.03,65.36,88.3,66.14
"5149","PEMERINTAH KABUPATEN SUMEDANG","SATUAN POLISI PAMONG PRAJA",69.65,70.13,94.89,66.14
"5150","PEMERINTAH KABUPATEN SUMEDANG","SEKRETARIAT DAERAH",69.36,70.68,93.51,66.14
"5151","PEMERINTAH KABUPATEN SUMEDANG","SEKRETARIAT DPRD",66.2,77.23,77.79,66.14
"5152","PEMERINTAH KABUPATEN INDRAMAYU","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",NA,74.64,NA,73.24
"5153","PEMERINTAH KABUPATEN INDRAMAYU","BADAN KESATUAN BANGSA DAN POLITIK",NA,80.55,NA,73.24
"5154","PEMERINTAH KABUPATEN INDRAMAYU","BADAN KEUANGAN DAERAH",70.33,72.13,84.26,73.24
"5155","PEMERINTAH KABUPATEN INDRAMAYU","BADAN PENANGGULANGAN BENCANA DAERAH",NA,72.09,NA,73.24
"5156","PEMERINTAH KABUPATEN INDRAMAYU","BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",71.92,71.26,89.93,73.24
"5157","PEMERINTAH KABUPATEN INDRAMAYU","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL",74.06,78.07,90.1,73.24
"5158","PEMERINTAH KABUPATEN INDRAMAYU","DINAS KESEHATAN",NA,79.37,NA,73.24
"5159","PEMERINTAH KABUPATEN INDRAMAYU","DINAS KETAHANAN PANGAN DAN PERTANIAN",NA,53.23,NA,73.24
"5160","PEMERINTAH KABUPATEN INDRAMAYU","DINAS KOMUNIKASI DAN INFORMATIKA",NA,74.04,NA,73.24
"5161","PEMERINTAH KABUPATEN INDRAMAYU","DINAS KOPERASI, USAHA KECIL MENENGAH, PERDAGANGAN DAN PERINDUSTRIAN",NA,75,NA,73.24
"5162","PEMERINTAH KABUPATEN INDRAMAYU","DINAS LINGKUNGAN HIDUP",NA,73.76,NA,73.24
"5163","PEMERINTAH KABUPATEN INDRAMAYU","DINAS PEKERJAAN UMUM DAN PENATAAN RUANG",NA,72.62,NA,73.24
"5164","PEMERINTAH KABUPATEN INDRAMAYU","DINAS PEMBERDAYAAN MASYARAKAT DAN DESA",NA,79.75,NA,73.24
"5165","PEMERINTAH KABUPATEN INDRAMAYU","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",NA,74.81,NA,73.24
"5166","PEMERINTAH KABUPATEN INDRAMAYU","DINAS PENDIDIKAN DAN KEBUDAYAAN",71.93,70.03,91.08,73.24
"5167","PEMERINTAH KABUPATEN INDRAMAYU","DINAS PENGENDALIAN PENDUDUK, KELUARGA BERENCANA, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK",NA,79.36,NA,73.24
"5168","PEMERINTAH KABUPATEN INDRAMAYU","DINAS PERHUBUNGAN",NA,73.12,NA,73.24
"5169","PEMERINTAH KABUPATEN INDRAMAYU","DINAS PERPUSTAKAAN DAN ARSIP",NA,80.08,NA,73.24
"5170","PEMERINTAH KABUPATEN INDRAMAYU","DINAS PERUMAHAN, KAWASAN DAN PERMUKIMAN DAN PERTANAHAN",71.09,71.63,87.05,73.24
"5171","PEMERINTAH KABUPATEN INDRAMAYU","DINAS SOSIAL",NA,73.82,NA,73.24
"5172","PEMERINTAH KABUPATEN INDRAMAYU","DINAS TENAGA KERJA",NA,76.8,NA,73.24
"5173","PEMERINTAH KABUPATEN INDRAMAYU","KECAMATAN",69.45,71.64,82.02,73.24
"5174","PEMERINTAH KABUPATEN INDRAMAYU","SATUAN POLISI PAMONG PRAJA DAN PEMADAM KEBAKARAN",NA,65.18,NA,73.24
"5175","PEMERINTAH KABUPATEN INDRAMAYU","SEKRETARIAT DAERAH",NA,73.74,NA,73.24
"5176","PEMERINTAH KABUPATEN INDRAMAYU","SEKRETARIS DPRD",NA,72.6,NA,73.24
"5177","PEMERINTAH KABUPATEN SUBANG","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SDM",71.85,68.62,95.67,69.81
"5178","PEMERINTAH KABUPATEN SUBANG","BADAN KESATUAN BANGSA DAN POLITIK DAERAH",66.68,57.2,90.53,69.81
"5179","PEMERINTAH KABUPATEN SUBANG","BADAN KEUANGAN DAN ASET DAERAH",NA,78.64,NA,69.81
"5180","PEMERINTAH KABUPATEN SUBANG","BADAN PENANGGULANGAN BENCANA DAERAH",NA,67.26,NA,69.81
"5181","PEMERINTAH KABUPATEN SUBANG","BADAN PENDAPATAN DAERAH",71.75,72.54,91.74,69.81
"5182","PEMERINTAH KABUPATEN SUBANG","BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",NA,72.39,NA,69.81
"5183","PEMERINTAH KABUPATEN SUBANG","DINAS KEARSIPAN DAN PERPUSTAKAAN",NA,75.99,NA,69.81
"5184","PEMERINTAH KABUPATEN SUBANG","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL",70.82,78.81,83.07,69.81
"5185","PEMERINTAH KABUPATEN SUBANG","DINAS KESEHATAN",65,77.54,66.5,69.81
"5186","PEMERINTAH KABUPATEN SUBANG","DINAS KETAHANAN PANGAN",NA,72.78,NA,69.81
"5187","PEMERINTAH KABUPATEN SUBANG","DINAS KOMUNIKASI DAN INFORMATIKA",NA,74.14,NA,69.81
"5188","PEMERINTAH KABUPATEN SUBANG","DINAS KOPERASI, UMKM, PERDAGANGAN DAN PERINDUSTRIAN",NA,72.11,NA,69.81
"5189","PEMERINTAH KABUPATEN SUBANG","DINAS LINGKUNGAN HIDUP",NA,76.45,NA,69.81
"5190","PEMERINTAH KABUPATEN SUBANG","DINAS PARIWISATA, KEPEMUDAAN DAN OLAH RAGA",NA,66.77,NA,69.81
"5191","PEMERINTAH KABUPATEN SUBANG","DINAS PEKERJAAN UMUM DAN PENATAAN RUANG",62.98,72.89,64.65,69.81
"5192","PEMERINTAH KABUPATEN SUBANG","DINAS PEMBERDAYAAN MASYARAKAT DAN DESA",NA,73.51,NA,69.81
"5193","PEMERINTAH KABUPATEN SUBANG","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",70.95,74.85,87.17,69.81
